tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
150428703,1225.01,PC,13.896396,2458414.082856,3.5885605
150428703,1225.02,PC,8.1213102,2458414.548052,3.1040945
177115354,1226.01,PC,3.9287851,2458438.458273,1.8165271
360156606,1227.01,CP,27.3613778,2458617.479256,4.0586418
300038935,1228.01,CP,29.0496801,2460904.701871,7.3129572
290131778,123.01,CP,3.3088922,2460175.035028,6.114
365938305,1262.01,PC,20.8774413,2460322.358008,3.562
406672232,1263.01,PC,1.0214555,2460557.928454,1.252
416195870,1264.01,PC,2.7441672,2459765.819264,1.418
424865156,1265.01,KP,2.2047452,2460558.800568,3.996
467179528,1266.01,CP,10.8948421,2459649.751299,2.0719394
467179528,1266.02,CP,18.8016111,2459630.046434,1.9093524
158561566,1267.01,KP,6.7900981,2459425.412816,6.0786576
142394656,1268.01,CP,8.157721,2460359.607231,3.788
198241702,1269.01,CP,4.2529641,2458686.60881,2.5733867
198241702,1269.02,PC,9.2378703,2459739.097032,2.535
234523599,127.01,CP,3.7955178,2458325.650603,2.0198135
237200747,1270.01,FP,14.3034613,2459695.445887,3.135
286923464,1271.01,KP,6.1349783,2459657.449461,5.661
417948359,1272.01,CP,3.3159772,2459661.401357,1.494
445859771,1273.01,CP,4.6313014,2459684.920137,1.435
459969957,1274.01,PC,19.3203478,2459736.340774,4.215
13499636,1275.01,FA,11.3246821,2458714.596964,5.9704136
43064903,1276.01,FA,6.261169,2459770.682182,2.0369188
153949511,1277.02,PC,14.8559691,2460319.121018,3.711
163539739,1278.01,CP,14.4751062,2459826.540249,1.6182484
224297258,1279.01,CP,9.6141636,2459659.673503,3.4271882
391949880,128.01,CP,4.9404714,2460175.867159,1.954
230017324,1280.01,PC,9.6926392,2458691.302548,3.0182304
232971294,1281.01,PC,6.390888,2460351.314066,3.766
236445129,1282.01,KP,0.9689927,2459445.892853,2.5496309
266593143,1283.01,KP,10.338505,2460539.055031,4.242
267561446,1284.01,FP,1.283251,2458711.815604,2.012261
274662200,1285.01,FP,1.2284388,2458712.3664,1.9190118
352764091,1287.01,PC,9.6001126,2459828.256927,4.9882857
365733349,1288.01,CP,2.6998294,2460445.649979,2.208
408203470,1289.01,FP,0.581322,2458711.410631,1.3261177
158170594,1240.01,KP,1.7208555,2459421.32991,1.8346409
159107668,1241.01,PC,4.7802597,2459421.236112,1.4588658
198212955,1242.01,PC,0.3814849,2459664.126568,0.565
219698776,1243.01,CP,4.6595169,2459598.143164,0.9011821
219850915,1244.01,CP,6.4002807,2459913.810947,2.1559875
229781583,1245.01,PC,4.8204512,2459764.329317,1.756
230127302,1246.01,CP,18.6548829,2459733.643821,5.4431451
230127302,1246.02,CP,4.3074513,2459737.587215,2.3379196
230127302,1246.03,CP,5.9041278,2459740.304262,2.7678313
230127302,1246.04,CP,37.9251983,2458700.697302,3.5345219
232540264,1247.01,CP,15.9234883,2460311.844914,4.021
232612416,1248.01,CP,4.3601536,2458687.1215,2.3408909
232976128,1249.01,CP,13.0791581,2460342.349121,2.97
52368076,125.01,CP,4.6517186,2460206.744249,2.709
52368076,125.02,CP,9.1549418,2460202.049893,2.457
52368076,125.03,CP,19.9815709,2460181.146579,2.724
233059608,1250.01,FA,1.4415044,2458683.642967,0.9274524
233211762,1252.01,PC,1.1219715,2459662.042876,0.8226121
233684822,1253.01,FP,4.6756655,2460658.633557,1.914
237222864,1255.01,CP,10.288886,2460646.544681,1.391
274762761,1256.01,FP,1.0332441,2458683.947476,3.8017836
278348461,1257.01,KP,5.4526479,2459820.977365,3.401
288132261,1258.01,PC,10.2613397,2460333.648786,4.855
288735205,1259.01,CP,3.4779776,2459764.874089,2.5103489
70440470,126.01,KP,3.0354017,2458326.730861,2.8809533
355867695,1260.01,CP,3.1274634,2459634.760516,1.9812695
355867695,1260.02,CP,7.4931613,2458686.119718,1.9339295
355867695,1260.03,CP,49.825166,2458879.323459,3.8714976
356311210,1261.01,PC,18.0574016,2459628.771413,3.592177
256886630,1323.01,FP,2.03905,2458713.20059,2.26
266688542,1324.01,FP,2.9424142,2460389.230214,4.073
274942910,1325.01,FP,1.0793011,2460393.552555,2.196
275111900,1326.01,FP,8.0428575,2459823.091016,9.504
330332501,1328.01,FP,4.0157492,2459819.789519,2.706
345996087,1329.01,FP,2.01976,2458712.72322,3.394
219338557,133.01,PC,8.1995368,2458327.280273,2.1168277
357457104,1330.01,FP,1.748054,2459852.148977,2.122
387664866,1331.01,FP,2.65646,2458712.51758,2.475
387664868,1332.01,FP,2.65688,2458712.51369,2.615
395171208,1333.01,CP,4.7201912,2459847.968306,4.416
42123111,1334.01,FP,4.03349,2458686.4671,2.684
89759617,1335.01,FP,3.3295394,2459817.659426,2.77
92783821,1336.01,FP,3.8615978,2459442.068334,1.678
160708862,1337.01,KP,3.3448312,2460087.939719,3.322
260128333,1338.01,CP,95.174,2459238.21949,11.6316864
269701147,1339.01,CP,8.8803281,2460651.26694,2.71
